model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o-mini,halstead_volume,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,1149.0,5.076181083521501e-13,7.614271625282251e-12,True,-0.7301233118027011,large,-22.130482042116306,ACT+Debugger
gpt-4o-mini,halstead_volume,primary,AC,ACT,T,Single,164,2350.0,0.7890532108509929,1.0,False,0.031127602556173986,negligible,-6.61819655098067,AC
gpt-4o-mini,halstead_volume,primary,AC,Debugger,R<->D,Swap,164,1626.5,2.6983636633549953e-09,2.6983636633549955e-08,True,0.6059835271317829,large,15.349122328591648,AC
gpt-4o-mini,halstead_volume,primary,AC,AC+Debugger,D,Single,164,1598.0,2.962229451815031e-09,2.6983636633549955e-08,True,0.6067913385826772,large,15.349122328591648,AC
gpt-4o-mini,halstead_volume,primary,AC,ACT+Debugger,"T,D",Compound,164,2088.5,0.587119107246965,1.0,False,-0.064501679731243,negligible,-6.781359713524658,ACT+Debugger
gpt-4o-mini,halstead_volume,primary,ACT,Debugger,"R,T,D",Compound,164,1733.0,4.458561162253821e-09,3.5668489298030567e-08,True,0.592953611274222,large,21.967318879572318,ACT
gpt-4o-mini,halstead_volume,primary,ACT,AC+Debugger,T<->D,Swap,164,1780.5,5.195769193254009e-09,3.637038435277806e-08,True,0.5881332408049965,large,21.967318879572318,ACT
gpt-4o-mini,halstead_volume,primary,ACT,ACT+Debugger,D,Single,164,2190.0,0.3198641303296914,1.0,False,-0.11515151515151516,small,-0.163163162543988,ACT+Debugger
gpt-4o-mini,halstead_volume,primary,Debugger,AC+Debugger,R,Single,164,53.0,0.43796657516602056,1.0,False,-0.22058823529411764,small,0.0,AC+Debugger
gpt-4o-mini,halstead_volume,primary,Debugger,ACT+Debugger,"R,T",Compound,164,1503.0,1.5471739731700508e-10,1.8566087678040608e-09,True,-0.6469759248385203,large,-22.130482042116306,ACT+Debugger
gpt-4o-mini,halstead_volume,primary,AC+Debugger,ACT+Debugger,T,Single,164,1404.0,3.341016920537926e-11,4.677423688753096e-10,True,-0.6702290076335878,large,-22.130482042116306,ACT+Debugger
gpt-4o-mini,halstead_difficulty,primary,Basic,AC,R,Single,164,1124.5,1.464394934060152e-12,1.9037134142781978e-11,True,-0.7233021653543307,large,-0.8095238095238093,AC
gpt-4o-mini,halstead_difficulty,primary,Basic,ACT,"R,T",Compound,164,1295.0,3.344514264319673e-12,3.67896569075164e-11,True,-0.7004395095998149,large,-0.7857142857142856,ACT
gpt-4o-mini,halstead_difficulty,primary,Basic,Debugger,D,Single,164,141.5,0.8080680535771225,1.0,False,-0.056666666666666664,negligible,0.0,Debugger
gpt-4o-mini,halstead_difficulty,primary,Basic,AC+Debugger,"R,D",Compound,164,110.5,0.2589571333843418,1.0,False,-0.2633333333333333,small,0.0,AC+Debugger
